codigo_uf;Regiao;uf;nome;latitude;longitude;pop_res_2020;media_moradores_2019;num_domicilio_agua_canalizada_2019;num_domicilios_energia_eletrica_2019;;;;
11;NORTE;RO;Rondônia;-10,83;-63,34;1796460;3;584;592;;;;
12;NORTE;AC;Acre;-8,77;-70,55;894470;3,2;244;260;;;;
13;NORTE;AM;Amazonas;-3,47;-65,1;4207714;3,6;1001;1083;;;;
14;NORTE;RR;Roraima;1,99;-61,33;631181;3,5;148;152;;;;
15;NORTE;PA;Pará;-3,79;-52,48;8690745;3,4;2309;2517;;;;
16;NORTE;AP;Amapá;1,41;-51,77;861773;3,8;216;221;;;;
17;NORTE;TO;Tocantins;-9,46;-48,26;1590248;3;516;522;;;;
21;NORDESTE;MA;Maranhão;-5,42;-45,44;7114598;3,4;1918;2083;;;;
22;NORDESTE;PI;Piauí;-6,6;-42,28;3281480;3,2;976;1020;;;;
23;NORDESTE;CE;Ceará;-5,2;-39,53;9187103;3,1;2803;2971;;;;
24;NORDESTE;RN;Rio Grande do Norte;-5,81;-36,59;3534165;3,1;1088;1143;;;; 
25;NORDESTE;PB;Paraíba;-7,28;-36,72;4039277;3;1194;1310;;;;
26;NORDESTE;PE;Pernambuco;-8,38;-37,86;9616621;2,9;3013;3272;;;;
27;NORDESTE;AL;Alagoas;-9,62;-36,82;3351543;3;1045;1123;;;;
28;NORDESTE;SE;Sergipe;-10,57;-37,45;2318822;2,9;742;786;;;;
29;NORDESTE;BA;Bahia;-13,29;-41,71;14930634;2,9;4969;5170;;;;
31;SUDESTE;MG;Minas Gerais;-18,1;-44,38;21292666;2,8;7437;7453;;;;
32;SUDESTE;ES;Espírito Santo;-19,19;-40,34;4064052;2,8;1420;1421;;;;
33;SUDESTE;RJ;Rio de Janeiro;-22,25;-42,66;17366189;2,7;6474;6498;;;;
35;SUDESTE;SP;São Paulo;-22,19;-48,79;46289333;2,8;16107;16131;;;;
41;SUL;PR;Paraná;-24,89;-51,55;11516840;2,8;4036;4039;;;;
42;SUL;SC;Santa Catarina;-27,45;-50,95;7252502;2,8;2558;2559;;;;
43;SUL;RS;Rio Grande do Sul;-30,17;-53,5;11422973;2,6;4335;4341;;;;
50;CENTRO OESTE;MS;Mato Grosso do Sul;-20,51;-54,54;2809394;2,9;926;927;;;;
51;CENTRO OESTE;MT;Mato Grosso;-12,64;-55,42;3526220;3;1139;1143;;;;
52;CENTRO OESTE;GO;Goiás;-15,98;-49,86;7113540;2,8;2472;2476;;;;
53;CENTRO OESTE;DF;Distrito Federal;-15,83;-47,86;3055149;3;1008;1007;;;;
